List Search, Breadth-first Search, Depth-first Search
1.886e-06, 2.865e-06, 2.375e-06
 1.956e-06, 4.261e-06, 1.468e-06
 1.887e-06, 1.6768e-05, 1.956e-06
 1.467e-06, 4.89e-06, 1.887e-06
 1.956e-06, 4.262e-06, 2.375e-06
 2.934e-06, 3.4793e-05, 1.886e-06
 1.886e-06, 4.331e-06, 2.376e-06
 1.468e-06, 2.934e-06, 1.887e-06
 1.467e-06, 1.4323e-05, 1.886e-06
 4.331e-06, 2.4663e-05, 2.376e-06
 2.376e-06, 1.8585e-05, 2.376e-06
 1.886e-06, 5.729e-06, 1.956e-06
 1.957e-06, 1.4951e-05, 1.956e-06
 1.957e-06, 1.0759e-05, 1.467e-06
 1.467e-06, 5.799e-06, 1.397e-06
 1.398e-06, 1.9283e-05, 2.795e-06
 1.956e-06, 1.9423e-05, 1.886e-06
 1.956e-06, 5.1e-06, 1.956e-06
 1.817e-06, 1.887e-06, 2.375e-06
 1.886e-06, 4.751e-06, 1.397e-06
 2.375e-06, 8.174e-06, 1.398e-06
 1.956e-06, 2.795e-06, 1.956e-06
 1.467e-06, 9.222e-06, 1.467e-06
 1.957e-06, 1.0969e-05, 1.886e-06
 2.306e-06, 7.476e-06, 1.956e-06
 2.375e-06, 1.9144e-05, 1.467e-06
 1.886e-06, 1.4602e-05, 1.886e-06
 1.397e-06, 1.957e-06, 1.886e-06
 1.397e-06, 2.376e-06, 1.468e-06
 2.376e-06, 4.75e-06, 1.397e-06
 2.375e-06, 5.17e-06, 1.397e-06
 1.887e-06, 1.7886e-05, 1.956e-06
 1.397e-06, 2.794e-06, 1.956e-06
 1.886e-06, 1.2087e-05, 2.376e-06
 1.957e-06, 1.887e-06, 1.397e-06
 1.956e-06, 7.685e-06, 1.397e-06
 1.467e-06, 9.991e-06, 2.376e-06
 2.375e-06, 7.196e-06, 1.886e-06
 1.467e-06, 1.956e-06, 1.886e-06
 1.887e-06, 1.9493e-05, 1.397e-06
 1.956e-06, 5.59e-06, 1.957e-06
 2.375e-06, 1.6139e-05, 1.467e-06
 1.467e-06, 2.376e-06, 1.467e-06
 1.467e-06, 1.956e-06, 1.957e-06
 1.467e-06, 1.2087e-05, 1.816e-06
 1.398e-06, 2.445e-06, 1.887e-06
 1.397e-06, 2.864e-06, 1.956e-06
 1.468e-06, 2.375e-06, 1.956e-06
 1.467e-06, 1.062e-05, 1.886e-06
 1.816e-06, 5.799e-06, 1.956e-06
 1.398e-06, 5.17e-06, 1.817e-06
 1.397e-06, 2.864e-06, 1.887e-06
 1.886e-06, 2.864e-06, 1.956e-06
 1.467e-06, 1.2506e-05, 1.886e-06
 1.467e-06, 5.659e-06, 1.886e-06
 1.887e-06, 6.0155e-05, 1.887e-06
 1.817e-06, 3.354e-06, 1.956e-06
 1.886e-06, 3.1021e-05, 1.467e-06
 1.467e-06, 7.686e-06, 1.886e-06
 1.398e-06, 6.218e-06, 1.886e-06
 1.467e-06, 2.306e-06, 1.886e-06
 1.887e-06, 3.283e-06, 1.398e-06
 1.467e-06, 2.935e-06, 1.886e-06
 1.398e-06, 1.3414e-05, 1.887e-06
 1.886e-06, 1.7746e-05, 1.467e-06
 3.354e-06, 2.6339e-05, 1.887e-06
 1.957e-06, 1.3693e-05, 1.886e-06
 1.467e-06, 2.446e-06, 1.887e-06
 1.467e-06, 9.991e-06, 1.886e-06
 1.467e-06, 6.777e-06, 1.886e-06
 1.398e-06, 6.777e-06, 1.817e-06
 2.306e-06, 3.423e-06, 1.886e-06
 1.467e-06, 1.048e-05, 1.956e-06
 1.468e-06, 1.8514e-05, 1.467e-06
 1.467e-06, 6.218e-06, 1.887e-06
 1.397e-06, 5.24e-06, 1.467e-06
 1.397e-06, 2.445e-06, 1.467e-06
 1.467e-06, 2.376e-06, 1.957e-06
 1.467e-06, 6.567e-06, 1.398e-06
 1.397e-06, 8.174e-06, 1.467e-06
 1.886e-06, 2.62e-05, 1.397e-06
 1.956e-06, 1.7746e-05, 1.817e-06
 1.886e-06, 4.4294e-05, 1.467e-06
 1.398e-06, 6.218e-06, 1.397e-06
 1.468e-06, 8.594e-06, 1.397e-06
 1.467e-06, 2.376e-06, 1.467e-06
 2.376e-06, 2.096e-05, 1.468e-06
 1.887e-06, 2.0889e-05, 1.467e-06
 1.467e-06, 5.31e-06, 1.467e-06
 1.956e-06, 1.4462e-05, 1.397e-06
 1.957e-06, 1.8235e-05, 1.887e-06
 1.887e-06, 2.6689e-05, 1.467e-06
 1.397e-06, 3.772e-06, 1.956e-06
 1.467e-06, 2.306e-06, 1.398e-06
 1.467e-06, 9.99e-06, 1.398e-06
 2.935e-06, 1.3414e-05, 1.956e-06
 1.398e-06, 1.886e-06, 1.397e-06
 1.467e-06, 2.445e-06, 1.887e-06
 2.376e-06, 1.816e-06, 1.467e-06
 1.397e-06, 7.196e-06, 1.816e-06
 